Altium Designer Pick and Place Locations
C:\Users\mloco\Google Drive\Design\Altium Design Files\Design Files\serialSteeringHardware\EPS-LKAS\V2I1\Project Outputs for MCU_EPS\Pick Place\Pick Place for LKAS-EPS_PCB_V2I1.csv

========================================================================================================================
File Design Information:

Date:       07/01/21
Time:       18:00
Revision:   6b1a472f44f1145833bf0c1811a8ffbf927dc7f8
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"U6","STM32F103C6U6A","TopLayer","STM-UFQFPN48_M","3370.315","3547.339","180","ARM Cortex-M3 32-bit MCU, 32 KB Flash, 10 KB Internal RAM, 37 I/Os, 48-pin UFQFPN, -40 to 85 degC, Tray"
"U5","STM32F103C6T7ATR","TopLayer","STM-LQFP48_L","3370.315","3547.338","180","ARM Cortex-M3 32-bit MCU, 32 KB Flash, 10 KB Internal RAM, 37 I/Os, 48-pin LQFP, -40 to 105 degC, Tape and Reel"
"J3","10118192-0001LF","BottomLayer","FCI-10118192-0001LF-5_V","3649.343","3526.756","270","Micro USB B Type Receptacle, -55 to 85 degC, 5-Pin SMD, RoHS, Tape and Reel"
"P1","62201421121","TopLayer","62201421121","3347.000","3836.000","180","THT Vertical Pin Header WR-PHD, Pitch 1.27 mm, Dual Row, 14 pins"
"R15","CRCW060322R0JNTA","TopLayer","RESC1609X50X30ML10T20","3147.000","3357.000","0",""
"R14","CRCW060322R0JNTA","TopLayer","RESC1609X50X30ML10T20","3132.000","3302.000","0",""
"R13","4K7","TopLayer","R0603","3663.000","3879.332","180","Res Thick Film 0603 4.7K Ohm 1% 1/10W 100ppm/C Molded SMD SMD Paper T/R"
"D2","SS14","BottomLayer","FP-403AE-MFG","2206.000","2870.000","90","DIODE SCHOTTKY 40V 1A SMA"
"D1","SS14","BottomLayer","FP-403AE-MFG","2341.000","2899.000","90","DIODE SCHOTTKY 40V 1A SMA"
"X1","ABM7-8.000MHZ-D2Y-T","TopLayer","ABRA-ABM7-2_V","3661.000","3540.339","270","Microprocessor Crystal, 8 MHz, 18 PF, -40 to 85 degC, 2-Pin SMD, RoHS, Tape and Reel"
"C16","CL10B475KQ8NQNC","TopLayer","FP-CL10-IPC_C","2210.649","3078.000","0","CAP CER 4.7UF 6.3V X7R 0603"
"SW1","76STC02T","TopLayer","76STC02T","2387.662","3339.941","90","SWITCH TOGGLE DIP SPDT 150MA 30V
WIRED:
1  2  3
4  5  6"
"R12","4K7","TopLayer","R0603","3663.000","3825.332","180","Res Thick Film 0603 4.7K Ohm 1% 1/10W 100ppm/C Molded SMD SMD Paper T/R"
