Removed Pin From Net: NetName=+5V0 Pin=C3-1
Removed Pin From Net: NetName=+5V0 Pin=U3-1
Removed Pin From Net: NetName=+5V0 Pin=U3-3
Removed Pin From Net: NetName=NRST Pin=U5-4
Removed Pin From Net: NetName=GND Pin=U5-5
Removed Pin From Net: NetName=+3V3 Pin=U5-6
Removed Pin From Net: NetName=UART2_TX Pin=U5-9
Removed Pin From Net: NetName=UART2_RX Pin=U5-10
Removed Pin From Net: NetName=BLUE_LED Pin=U5-16
Removed Pin From Net: NetName=STATUS Pin=U5-17
Removed Pin From Net: NetName=GND Pin=U5-18
Removed Pin From Net: NetName=+3V3 Pin=U5-19
Removed Pin From Net: NetName=UART3_TX Pin=U5-21
Removed Pin From Net: NetName=UART3_RX Pin=U5-22
Removed Pin From Net: NetName=CAN1_RX Pin=U5-23
Removed Pin From Net: NetName=CAN1_TX Pin=U5-24
Removed Pin From Net: NetName=SWDIO Pin=U5-25
Removed Pin From Net: NetName=GND Pin=U5-26
Removed Pin From Net: NetName=+3V3 Pin=U5-27
Removed Pin From Net: NetName=SWCLK Pin=U5-28
Removed Pin From Net: NetName=BOOT0 Pin=U5-35
Removed Pin From Net: NetName=GND Pin=U5-36
Removed Pin From Net: NetName=GND Pin=U5-
Change Component Footprint: Designator=U5 Old Footprint=STM-VFQFPN36_N New Footprint=STM-LQFP48_L
Change Component Comment : Designator=U5 Old Comment=STM32F103T6U6A New Comment=STM32F103C6T7ATR
Change Managed Component Library Link : Designator=U5 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=32A4126E-D266-4A99-AE87-C92181D363D0 New ItemGUID=E66B8FAD-7FD2-4214-991B-FA6D77FD2B9E Old RevisionGUID=CE47DE3C-B1B5-4C49-8E68-B0BFE58B4BAF New RevisionGUID=E233BCFC-F286-4090-92DD-194F73EAD4A5
Change component parameters: Designator = "U5" ("U5"); Footprint = "STM-VFQFPN36_N"; UniqueID = "\YMCUPMHJ" ("\YMCUPMHJ")
Change component parameters (AddParameter): Name = "A/D Converter"; Value = "2x12-bit (10 Channel)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Manufacturer URL"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.st.com/web/en/home.html"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/CD00210843.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3Description"; Value = "Package Specification"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3URL"; Value = "http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/DM00058181.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Core"; Value = "ARM Cortex-M3"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DatasheetVersion"; Value = "Rev. 6"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "FLASH Size (Prog) (kB)"; Value = "32"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "I/Os (High Current)"; Value = "37"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Internal RAM Size (kB)"; Value = "10"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Technology"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Frequency(F) (Processor speed) (MHz)"; Value = "72"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageDescription"; Value = "48-Pin Low Profile Quad Flat Package, 7 x 7 mm Body, 0.5 mm Pitch"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageReference"; Value = "LQFP48"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageVersion"; Value = "Rev. 6, 06/2013"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packing"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PartNumber"; Value = "STM32F103C6T7ATR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supply Voltage(Vcc) min (V)"; Value = "2"; VariantName = "[No Variations]"
Added Component: Designator=D1(FP-403AE-MFG)
Add component (AddParameter): Name = "Automotive"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Category"; Value = "Diode"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "https://www.onsemi.com/pub/Collateral/SS19-D.PDF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Class L1"; Value = "Discrete Semiconductors"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Class L2"; Value = "Diodes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Class L3"; Value = "Schottky Diodes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Digikey Description"; Value = "DIODE SCHOTTKY 40V 1A SMA"; VariantName = "[No Variations]"
